date,open,high,low,close,volume,change_ratio
20150526,50600,50800,48500,48500,118216,-3.9603960396039604
20150527,48500,48900,47600,47600,85879,-1.8556701030927836
20150528,47400,48300,47250,47650,43181,0.10504201680672269
20150529,48200,48500,47850,48000,42990,0.7345225603357817
20150601,48000,48200,47200,47250,47836,-1.5625
20150602,47300,47850,45750,46000,73014,-2.6455026455026456
20150603,49500,52900,48800,52900,780111,15.0
20150604,54000,58200,49700,50200,1266986,-5.103969754253308
20150605,50200,55400,49900,52400,733697,4.382470119521913
20150608,53000,55600,52400,54300,374056,3.6259541984732824
20150609,54400,55700,53200,54600,186874,0.5524861878453038
20150610,54600,55100,52400,53100,146445,-2.7472527472527473
20150611,52900,55600,52800,54000,212217,1.694915254237288
20150612,54400,55300,52900,54000,125720,0.0
20150615,54100,54700,52100,52500,86016,-2.7777777777777777
20150616,52300,52600,50100,51300,116814,-2.2857142857142856
20150617,51300,53200,50400,51800,78233,0.9746588693957114
20150618,51800,51900,50400,50400,82306,-2.7027027027027026
20150619,50400,51300,50200,51300,138763,1.7857142857142856
20150622,51500,51800,48850,49200,171299,-4.093567251461988
20150623,49250,51100,49250,50900,88560,3.4552845528455287
20150624,51300,51600,50400,51000,64997,0.19646365422396855
20150625,51300,52600,50600,52400,112264,2.7450980392156863
20150626,52400,53400,51500,53000,111714,1.1450381679389312
20150629,52100,52800,50700,50900,93424,-3.9622641509433962
20150630,51100,51700,50300,51500,49848,1.1787819253438114
20150701,51500,52300,51400,51700,47611,0.3883495145631068
20150702,51800,52500,51200,51300,59220,-0.7736943907156674
20150703,51400,51600,50400,51300,50703,0.0
20150706,51000,51300,50100,50300,57694,-1.949317738791423
20150707,50500,50700,49000,49500,66976,-1.5904572564612325
20150708,49400,51000,49200,49950,33165,0.9090909090909091
20150709,49050,49550,48350,49500,64647,-0.9009009009009009
20150710,50000,50600,49400,49600,39549,0.20202020202020202
20150713,49600,49900,49100,49800,32619,0.4032258064516129
20150714,50500,50700,49950,50100,42804,0.6024096385542169
20150715,50100,53100,49800,51300,173182,2.3952095808383236
20150716,53300,54300,51600,51900,145112,1.1695906432748537
20150717,52500,53000,51000,51900,71552,0.0
20150720,52800,53100,51800,51800,69192,-0.1926782273603083
20150721,51800,52200,51000,51800,45090,0.0
20150722,52400,55800,52100,53100,265468,2.5096525096525095
20150723,52400,52400,50400,50700,139431,-4.519774011299435
20150724,50100,50800,49750,50000,61407,-1.3806706114398422
20150727,49850,50500,49150,49400,53350,-1.2
20150728,49000,49700,47600,49550,53878,0.30364372469635625
20150729,49700,49900,48200,48500,38811,-2.119071644803229
20150730,48650,49400,47000,47000,35791,-3.0927835051546393
20150731,47000,47800,46500,47800,28867,1.702127659574468
20150803,47500,48300,47050,47100,19438,-1.4644351464435146
20150804,46950,47950,46400,47550,31962,0.9554140127388535
20150805,47800,48750,47800,48150,25403,1.2618296529968454
20150806,48900,48900,48000,48200,25776,0.10384215991692627
20150807,48200,48550,47400,48200,20480,0.0
20150810,48200,48650,47650,48300,27354,0.2074688796680498
20150811,48500,48500,47450,47700,26172,-1.2422360248447204
20150812,47200,47700,45600,46100,57793,-3.3542976939203357
20150813,46100,47300,45950,46900,30196,1.735357917570499
20150817,46900,47500,46500,46900,12849,0.0
20150818,46650,47400,45600,45700,28197,-2.55863539445629
20150819,45000,45250,43500,44000,50338,-3.7199124726477026
20150820,42800,45900,42800,44500,32531,1.1363636363636365
20150821,43000,45000,42500,43400,55061,-2.4719101123595504
20150824,43400,44800,41650,41650,48005,-4.032258064516129
20150825,41700,42750,41100,42250,44750,1.440576230492197
20150826,42300,43200,41950,43100,41206,2.0118343195266273
20150827,44000,45250,43400,44200,47616,2.5522041763341066
20150828,44450,45200,44450,44850,21574,1.4705882352941175
20150831,45500,45550,44600,45000,23162,0.33444816053511706
20150901,45000,45250,44500,44600,18107,-0.8888888888888888
